trial,seed,pattern,arrival_horizon,domain,length,repairpersons,corresponding_even_full_line_k,requests,total_completion_time,mean_completion_time,total_flow_time,mean_flow_time,max_flow_time,makespan,total_distance_until_last_completion,sum_individual_lower_bounds,online_over_lower_bound,max_request_over_lower_bound,mean_request_over_lower_bound,zero_lower_bound_requests,paper_claimed_halfline_bound,paper_bound_check_applicable,observed_bound_violation,computed_trajectory_legs,offline_status,offline_optimum,empirical_ratio_to_optimum
0,7,uniform,100,"[0, length]",100.0,1,2,100,14526.939120943594,145.26939120943595,9760.939120943594,97.60939120943594,285.62035578314914,293.3051173943285,293.3051173943285,6421.240721620716,2.262325888520343,3.7242228955854673,2.194929031367675,0,3.732050807568877,True,False,10,not requested,,
0,7,uniform,100,"[0, length]",100.0,2,4,100,10104.871477975914,101.04871477975914,5338.871477975914,53.38871477975914,164.19693913072058,171.88170074189995,343.7634014837999,6421.240721620716,1.5736633956039345,2.1148807073086964,1.5788108717870701,0,2.142857142857143,True,False,33,not requested,,
0,7,uniform,100,"[0, length]",100.0,3,6,100,8662.450844981899,86.62450844981899,3896.4508449818986,38.964508449818986,133.95884389262534,141.6436055038047,424.93081651141415,6421.240721620716,1.3490306967958527,1.7974837016880498,1.3533222057335998,0,2,True,False,51,not requested,,
0,7,uniform,100,"[0, length]",100.0,4,8,100,8153.047857147577,81.53047857147577,3387.047857147577,33.87047857147577,121.50786350046847,148.03814662750307,573.9967928236856,6421.240721620716,1.269699768410139,1.8979249567628598,1.267693002565212,0,2,True,False,71,not requested,,
0,7,uniform,100,"[0, length]",100.0,5,10,100,7840.627664800353,78.40627664800353,3074.6276648003527,30.746276648003526,114.7164196502011,142.83932553535436,694.4482112323265,6421.240721620716,1.2210455898967427,1.6047904956475496,1.222910173156445,0,2,True,False,90,not requested,,
1,8,uniform,100,"[0, length]",100.0,1,2,100,14410.189954868112,144.10189954868113,9224.189954868112,92.24189954868112,273.00200162904025,292.00200162904025,292.00200162904025,6572.578856745583,2.1924712154771053,3.67527066070416,2.1368065190837733,0,3.732050807568877,True,False,10,not requested,,
1,8,uniform,100,"[0, length]",100.0,2,4,100,10103.551334155623,101.03551334155624,4917.551334155624,49.17551334155624,151.57858497661167,170.57858497661167,341.15716995322333,6572.578856745583,1.5372278605354617,2.123663754031843,1.5588141838284133,0,2.142857142857143,True,False,33,not requested,,
1,8,uniform,100,"[0, length]",100.0,3,6,100,8865.133322724401,88.65133322724401,3679.1333227244018,36.79133322724402,121.34048973851642,140.34048973851642,421.02146921554925,6572.578856745583,1.3488059277715503,1.6554705231852413,1.3594200484333692,0,2,True,False,51,not requested,,
1,8,uniform,100,"[0, length]",100.0,4,8,100,8571.75842873098,85.7175842873098,3385.75842873098,33.8575842873098,108.88950934635957,147.5588624089398,572.5589401679958,6572.578856745583,1.3041697354355202,1.8642542875657526,1.297829778153706,0,2,True,False,71,not requested,,
1,8,uniform,100,"[0, length]",100.0,5,10,100,8042.7255234717095,80.4272552347171,2856.72552347171,28.5672552347171,102.0980654960922,144.14981118211102,699.6901538193531,6572.578856745583,1.2236788175188318,1.6122488206214198,1.2311770884166056,0,2,True,False,90,not requested,,
2,9,uniform,100,"[0, length]",100.0,1,2,100,15220.909117804415,152.20909117804413,10250.909117804415,102.50909117804414,281.9321640638748,293.48323588956833,293.48323588956833,6519.739510542939,2.3345885358135843,3.6731865392209198,2.2674417355321634,0,3.732050807568877,True,False,10,not requested,,
2,9,uniform,100,"[0, length]",100.0,2,4,100,10235.28782336861,102.3528782336861,5265.287823368611,52.6528782336861,160.50874741144625,177.34077096222367,349.91219953365226,6519.739510542939,1.5698921416748834,2.120183627042009,1.5734904182457603,0,2.142857142857143,True,False,33,not requested,,
2,9,uniform,100,"[0, length]",100.0,3,6,100,8842.94013726041,88.4294013726041,3872.9401372604107,38.72940137260411,130.27065217335098,141.82172399904454,425.4651719971336,6519.739510542939,1.3563333508893523,1.6534404491078383,1.361234602246115,0,2,True,False,51,not requested,,
2,9,uniform,100,"[0, length]",100.0,4,8,100,8474.145950873944,84.74145950873944,3504.145950873944,35.04145950873944,117.81967178119416,149.94472988600532,579.7165425991924,6519.739510542939,1.2997675654327254,1.791252951358701,1.2922727791145072,0,2,True,False,71,not requested,,
2,9,uniform,100,"[0, length]",100.0,5,10,100,8094.601603632744,80.94601603632744,3124.6016036327437,31.246016036327436,111.02822793092678,143.0369934863104,695.2388830361506,6519.739510542939,1.241552916422984,1.7509462801909403,1.2418850798744543,0,2,True,False,90,not requested,,
3,10,uniform,100,"[0, length]",100.0,1,2,100,16044.400417669101,160.444004176691,11151.400417669101,111.51400417669102,279.12678113079915,293.96464899560914,293.96464899560914,6719.782942069444,2.3876367073142424,3.7009662871799835,2.2853252652228617,0,3.732050807568877,True,False,10,not requested,,
3,10,uniform,100,"[0, length]",100.0,2,4,100,11133.182922682356,111.33182922682356,6240.182922682356,62.40182922682356,157.70336447837056,172.54123234318058,345.08246468636116,6719.782942069444,1.6567771635870352,2.117292920883445,1.6477714605580414,0,2.142857142857143,True,False,33,not requested,,
3,10,uniform,100,"[0, length]",100.0,3,6,100,9348.391268395475,93.48391268395476,4455.391268395475,44.55391268395475,127.46526924027532,142.30313710508534,426.909411315256,6719.782942069444,1.391174588373909,1.7078096227292212,1.38555663254425,0,2,True,False,51,not requested,,
3,10,uniform,100,"[0, length]",100.0,4,8,100,8623.214405704086,86.23214405704086,3730.2144057040864,37.30214405704086,115.01428884811847,131.3909031906743,524.0550625131993,6719.782942069444,1.283257879018404,1.4623478554228229,1.2785556453307418,0,2,True,False,71,not requested,,
3,10,uniform,100,"[0, length]",100.0,5,10,100,8297.036690880297,82.97036690880297,3404.0366908802966,34.040366908802966,108.2228449978511,135.5609684670797,665.3347829592278,6719.782942069444,1.2347179607448924,1.8667763390729866,1.2301747831214402,0,2,True,False,90,not requested,,
4,11,uniform,100,"[0, length]",100.0,1,2,100,13587.72953150921,135.8772953150921,9268.72953150921,92.6872953150921,276.72582255413755,293.7604652701655,293.7604652701655,6111.194613082558,2.2234162699419255,3.655652038528882,2.1746342975504036,0,3.732050807568877,True,False,10,not requested,,
4,11,uniform,100,"[0, length]",100.0,2,4,100,9958.019313683195,99.58019313683195,5639.019313683195,56.39019313683195,155.302405901709,172.33704861773697,344.67409723547394,6111.194613082558,1.629471804475926,2.1273842402993024,1.6424812294126991,0,2.142857142857143,True,False,33,not requested,,
4,11,uniform,100,"[0, length]",100.0,3,6,100,8361.788472615433,83.61788472615433,4042.788472615433,40.42788472615433,125.06431066361375,142.09895337964173,426.2968601389252,6111.194613082558,1.368273963115969,1.9735645363968748,1.382190601135836,0,2,True,False,51,not requested,,
4,11,uniform,100,"[0, length]",100.0,4,8,100,7821.283481318481,78.21283481318481,3502.2834813184804,35.0228348131848,112.6133302714569,149.08816159915716,577.146837738648,6111.194613082558,1.27982890032254,1.8871919189766728,1.2797843254256516,0,2,True,False,71,not requested,,
4,11,uniform,100,"[0, length]",100.0,5,10,100,7456.860975202519,74.56860975202518,3137.8609752025186,31.378609752025184,105.82188642118953,122.85652913721752,614.2826456860876,6111.194613082558,1.220196941403113,1.7340695248417237,1.2231554293051001,0,2,True,False,90,not requested,,
5,12,uniform,100,"[0, length]",100.0,1,2,100,16032.920616921807,160.32920616921808,11044.920616921807,110.44920616921807,288.764657799029,293.84435880418107,293.84435880418107,6817.073612733344,2.351877290421882,3.6429541800865164,2.2706263410512757,0,3.732050807568877,True,False,10,not requested,,
5,12,uniform,100,"[0, length]",100.0,2,4,100,11052.013014334912,110.52013014334912,6064.013014334913,60.64013014334913,167.34124114660048,172.4209421517525,344.841884303505,6817.073612733344,1.6212254175591256,2.101455127982975,1.613487855751771,0,2.142857142857143,True,False,33,not requested,,
5,12,uniform,100,"[0, length]",100.0,3,6,100,9348.072581164082,93.48072581164082,4360.072581164083,43.600725811640835,137.10314590850524,142.18284691365727,426.5485407409718,6817.073612733344,1.3712735276472863,1.640575022154192,1.3634997398431197,0,2,True,False,51,not requested,,
5,12,uniform,100,"[0, length]",100.0,4,8,100,8728.079203547022,87.28079203547023,3740.0792035470226,37.400792035470225,124.65216551634839,150.21902870606937,580.5394390593846,6817.073612733344,1.2803263833390601,1.7266555023686134,1.2750489904934705,0,2,True,False,71,not requested,,
5,12,uniform,100,"[0, length]",100.0,5,10,100,8265.710286009537,82.65710286009536,3277.7102860095365,32.77710286009537,117.86072166608102,143.7423333393787,698.0602424484239,6817.073612733344,1.2125012513537101,1.6150823970716706,1.2113933099882048,0,2,True,False,90,not requested,,
6,13,uniform,100,"[0, length]",100.0,1,2,100,13413.78697679,134.13786976789999,8478.78697679,84.78786976789999,292.29236147732615,293.29236147732615,293.29236147732615,6396.8813868372445,2.0969260121645092,3.646040033382107,2.0616920893350468,0,3.732050807568877,True,False,10,not requested,,
6,13,uniform,100,"[0, length]",100.0,2,4,100,10229.44800601719,102.2944800601719,5294.44800601719,52.9444800601719,170.8689448248976,178.2963119661528,350.86774053758137,6396.8813868372445,1.5991304805285516,2.1322352300457954,1.606357249296667,0,2.142857142857143,True,False,33,not requested,,
6,13,uniform,100,"[0, length]",100.0,3,6,100,8473.885437135075,84.73885437135075,3538.8854371350744,35.388854371350746,140.63084958680236,141.63084958680236,424.89254876040707,6396.8813868372445,1.3246900989240862,1.660470550860047,1.3378503156992279,0,2,True,False,51,not requested,,
6,13,uniform,100,"[0, length]",100.0,4,8,100,8012.688631264704,80.12688631264704,3077.688631264704,30.77688631264704,128.1798691946455,146.0274044031276,567.9645661505592,6396.8813868372445,1.2525929662776425,1.5054371587951298,1.2505507924066273,0,2,True,False,71,not requested,,
6,13,uniform,100,"[0, length]",100.0,5,10,100,7858.467656161967,78.58467656161967,2923.4676561619667,29.23467656161967,121.38842534437812,144.62523371457283,701.5918439492004,6396.8813868372445,1.2284841911141582,1.5223708812060297,1.2210148937415957,0,2,True,False,90,not requested,,
